Location of help or hover text,Plain Text,Text with HTML tag
humanitarian_scope.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
capital_spend.hover_text,"The percentage of the activity's funding that is for capital spending. Capital describes physical assets with a useful life of more than one year - for example, a road. Click here for more information","The percentage of the activity's funding that is for capital spending. Capital describes physical assets with a useful life of more than one year - for example, a road.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/capital-spend/'>Click here for more information</a>"
capital_spend.help_text,,
capital_spend.attributes.capital_spend.hover_text,"Enter the percentage of funding allocated to capital expenditure. This should be a decimal number between 0 and 100 inclusive, with no percentage sign.","Enter the percentage of funding allocated to capital expenditure. This should be a decimal number between 0 and 100 inclusive, with no percentage sign."
capital_spend.attributes.capital_spend.help_text,,
related_activity.hover_text,"A separately reported IATI activity that is related to this one. The ‘type’ attribute describes the type of relationship - e.g. parent, child, multifunded. Please only refer to your own activities here. Click here for more information","A separately reported IATI activity that is related to this one. The ‘type’ attribute describes the type of relationship - e.g. parent, child, multifunded. Please only refer to your own activities here.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/related-activity/'>Click here for more information</a>"
related_activity.help_text,,
related_activity.attributes.activity_identifier.hover_text,The identifier of the related activity.,A valid activity identifier (as defined in iati-activity/iati-identifier).
related_activity.attributes.activity_identifier.help_text,,
related_activity.attributes.relationship_type.hover_text,Select the type of relationship between the activity being reported and the related activity from this list. Click here for descriptions of the different types,Select the type of relationship between the activity being reported and the related activity from this list.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/relatedactivitytype/'>Click here for descriptions of the different types</a>
related_activity.attributes.relationship_type.help_text,,
conditions.hover_text,Specific terms and conditions attached to the activity that may influence the delivery of commitments. Click here for more information,Specific terms and conditions attached to the activity that may influence the delivery of commitments.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/conditions/'>Click here for more information</a>
conditions.help_text,,
conditions.attributes.condition_attached.hover_text,"Select ‘True’ if your activity has a condition attached, otherwise 'False'.","Select ‘True’ if your activity has a condition attached, otherwise 'False'."
conditions.attributes.condition_attached.help_text,,
conditions.sub_elements.condition.hover_text,"Information on a specific condition attached to the activity. Organisation-wide terms and conditions that apply to all activities should be reported in the 'document-link' element of your organisation data, instead of here.",Information on a specific condition attached to the activity. Organisation-wide terms and conditions that apply to all activities should be reported in the 'document-link' element of your organisation data instead of here.
conditions.sub_elements.condition.attributes.condition_type.hover_text,Select the type of condition that you want to report. Click here for more information on the different types,Select the type of condition that you want to report.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/conditiontype/'>Click here for more information on the different types</a>
conditions.sub_elements.condition.attributes.condition_type.help_text,,
conditions.sub_elements.condition.sub_elements.narrative.hover_text,Provide a short description of the condition here. You can provide more information by adding a link to a document or webpage in the separate activity 'document-link' element.,Provide a short description of the condition here. You can provide more information by adding a link to a document or webpage in the separate activity 'document-link' element.
conditions.sub_elements.condition.sub_elements.narrative.help_text,,
conditions.sub_elements.condition.sub_elements.narrative.attributes.language.hover_text,,
conditions.sub_elements.condition.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
legacy_data.hover_text,You can link this activity to your organisation’s internal data and record which IATI Standard element it relates to. Click here for more information,You can link this activity to your organisation’s internal data and record which IATI Standard element it relates to.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/legacy-data/'>Click here for more information</a>
legacy_data.help_text,,
legacy_data.attributes.legacy_name.hover_text,The original field name in your organisation's internal data system.,The original field name in your organisation's internal data system.
legacy_data.attributes.legacy_name.help_text,,
legacy_data.attributes.value.hover_text,The original value in the reporting organisation’s system,The original value in the reporting organisation’s system
legacy_data.attributes.value.help_text,,
legacy_data.attributes.iati_equivalent.hover_text,The name of the equivalent IATI element.,The name of the equivalent IATI element.
legacy_data.attributes.iati_equivalent.help_text,,
document_link.hover_text,"A link to an online, publicly accessible, web page or document. For example, you could provide a link to your activity's website or an evaluation report. Create additional document elements for each separate document. Click here for more information","A link to an online, publicly accessible, web page or document. For example, you could provide a link to your activity's website or an evaluation report. Create additional document elements for each separate document.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/document-link/'>Click here for more information</a>"
document_link.help_text,,
document_link.attributes.url.hover_text,A link to where the document is available online - e.g. 'http://www.example.org/doc.odt',A link to where the document is available online - e.g. 'http://www.example.org/doc.odt'
document_link.attributes.url.help_text,,
document_link.attributes.format.hover_text,"Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'.","Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'."
document_link.attributes.format.help_text,,
document_link.attributes.document.hover_text,,
document_link.attributes.document.help_text,,
document_link.sub_elements.title.hover_text,A short title for the document.,A short title for the document.
document_link.sub_elements.title.sub_elements.narrative.hover_text,Provide a short title for the document or webpage.,Provide a short title for the document or webpage.
document_link.sub_elements.title.sub_elements.narrative.help_text,,
document_link.sub_elements.title.sub_elements.narrative.attributes.language.hover_text,,
document_link.sub_elements.title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
document_link.sub_elements.category.hover_text,A category that describes the type of document. You can select multiple categories.,A category that describes the type of document. You can select multiple categories.
document_link.sub_elements.category.help_text,,
document_link.sub_elements.category.attributes.code.hover_text,Select a category from the drop-down menu that describes what your document is.,Select a category from the drop-down menu that describes what your document is.
document_link.sub_elements.category.attributes.code.help_text,,
document_link.sub_elements.description.hover_text,"A description of the document contents, or guidance on where to access relevant information.","A description of the document contents, or guidance on where to access relevant information."
document_link.sub_elements.description.sub_elements.narrative.hover_text,"Provide a short description of the document or webpage, including any instructions on where to find relevant information.","Provide a short description of the document or webpage, including any instructions on where to find relevant information."
document_link.sub_elements.description.sub_elements.narrative.help_text,,
document_link.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
document_link.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
document_link.sub_elements.language.attributes.code.hover_text,Select the language that the document is written in. This can be repeated to describe multilingual documents.,Select the language that the document is written in. This can be repeated to describe multilingual documents.
document_link.sub_elements.language.attributes.code.help_text,,
document_link.sub_elements.document_date.hover_text,The publication date of the document or webpage.,The publication date of the document or webpage.
document_link.sub_elements.document_date.attributes.date.hover_text,"Provide the date of publication for the document, or the date that it was last updated.","Provide the date of publication for the document, or the date that it was last updated."
document_link.sub_elements.document_date.attributes.date.help_text,,
contact_info.hover_text,Contact information for the activity. You can add multiple points of contact if needed. Click here for more information,Contact information for the activity. You can add multiple points of contact if needed.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/contact-info/'>Click here for more information</a>
contact_info.attributes.type.hover_text,Select the category that best describes the type of contact information that you are providing.,Select the category that best describes the type of contact information that you are providing.
contact_info.attributes.type.help_text,,
contact_info.sub_elements.organisation.hover_text,An organisation to contact for more information about the activity.,An organisation to contact for more information about the activity.
contact_info.sub_elements.organisation.sub_elements.narrative.hover_text,Enter the name of the organisation.,Enter the name of the organisation.
contact_info.sub_elements.organisation.sub_elements.narrative.help_text,,
contact_info.sub_elements.organisation.sub_elements.narrative.attributes.language.hover_text,,
contact_info.sub_elements.organisation.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
contact_info.sub_elements.department.hover_text,A department within the organisation to contact for more information about the activity.,A department within the organisation to contact for more information about the activity.
contact_info.sub_elements.department.sub_elements.narrative.hover_text,Provide the name of the department.,Provide the name of the department.
contact_info.sub_elements.department.sub_elements.narrative.help_text,,
contact_info.sub_elements.department.sub_elements.narrative.attributes.language.hover_text,,
contact_info.sub_elements.department.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
contact_info.sub_elements.person_name.hover_text,A person to contact for more information about the activity.,A person to contact for more information about the activity.
contact_info.sub_elements.person_name.sub_elements.narrative.hover_text,Enter the name of the contact person.,Enter the name of the contact person.
contact_info.sub_elements.person_name.sub_elements.narrative.help_text,,
contact_info.sub_elements.person_name.sub_elements.narrative.attributes.language.hover_text,,
contact_info.sub_elements.person_name.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
contact_info.sub_elements.job_title.hover_text,The job title of the contact person at the organisation.,The job title of the contact person at the organisation.
contact_info.sub_elements.job_title.sub_elements.narrative.hover_text,Enter a job title.,Enter a job title.
contact_info.sub_elements.job_title.sub_elements.narrative.help_text,,
contact_info.sub_elements.job_title.sub_elements.narrative.attributes.language.hover_text,,
contact_info.sub_elements.job_title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
contact_info.sub_elements.telephone.attributes.telephone.hover_text,A contact telephone number for the activity. Multiple numbers may be entered.,A contact telephone number for the activity. Multiple numbers may be entered.
contact_info.sub_elements.telephone.attributes.telephone.help_text,,
contact_info.sub_elements.email.attributes.email.hover_text,A contact email address for the activity. Multiple email addresses may be entered.,A contact email address for the activity. Multiple email addresses may be entered.
contact_info.sub_elements.email.attributes.email.help_text,,
contact_info.sub_elements.website.attributes.website.hover_text,A website for the activity. Multiple websites may be entered.,A website for the activity. Multiple websites may be entered.
contact_info.sub_elements.website.attributes.website.help_text,,
contact_info.sub_elements.mailing_address.hover_text,A contact mailing address for the activity.,A contact mailing address for the activity.
contact_info.sub_elements.mailing_address.sub_elements.narrative.hover_text,Enter a physical address.,Enter a physical address.
contact_info.sub_elements.mailing_address.sub_elements.narrative.help_text,,
contact_info.sub_elements.mailing_address.sub_elements.narrative.attributes.language.hover_text,,
contact_info.sub_elements.mailing_address.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
location.hover_text,"The sub-national location of an activity, if known and safe to disclose. You can provide geographic coordinates, an administrative area, or general description. Multiple locations may be reported. Click here for more information","The sub-national location of an activity, if known and safe to disclose. You can provide geographic coordinates, an administrative area, or general description. Multiple locations may be reported.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/location/'>Click here for more information</a>"
location.help_text,,
location.attributes.ref.hover_text,You can provide an internal reference used by your organisation to describe the location.,You can provide an internal reference used by your organisation to describe the location.
location.attributes.ref.help_text,,
location.sub_elements.location_reach.hover_text,Does this location describe where the activity takes place or where the intended beneficiaries reside?,Does this location describe where the activity takes place or where the intended beneficiaries reside?
location.sub_elements.location_reach.help_text,,
location.sub_elements.location_reach.attributes.code.hover_text,,
location.sub_elements.location_reach.attributes.code.help_text,,
location.sub_elements.location_id.hover_text,A unique code describing the location according to a recognised gazetteer or administrative boundary repository. Click here for more information,A unique code describing the location according to a recognised gazetteer or administrative boundary repository.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/location/location-id/'>Click here for more information</a>
location.sub_elements.location_id.help_text,,
location.sub_elements.location_id.attributes.vocabulary.hover_text,Select a recognised gazetteer or administrative boundary repository from the drop-down list.,Select a recognised gazetteer or administrative boundary repository from the drop-down list.
location.sub_elements.location_id.attributes.vocabulary.help_text,,
location.sub_elements.location_id.attributes.code.hover_text,Provide a location code which corresponds to the vocabulary that you have selected.,Provide a location code which corresponds to the vocabulary that you have selected.
location.sub_elements.location_id.attributes.code.help_text,,
location.sub_elements.name.hover_text,A name for the location of the activity.,A name for the location of the activity.
location.sub_elements.name.sub_elements.narrative.hover_text,Enter a location name.,Enter a location name.
location.sub_elements.name.sub_elements.narrative.help_text,,
location.sub_elements.name.sub_elements.narrative.attributes.language.hover_text,,
location.sub_elements.name.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
location.sub_elements.description.hover_text,A description of the location of the activity.,A description of the location of the activity.
location.sub_elements.description.sub_elements.narrative.hover_text,Enter a location description.,Enter a location description.
location.sub_elements.description.sub_elements.narrative.help_text,,
location.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
location.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
location.sub_elements.activity_description.hover_text,A description of what is taking place at this location. This should not duplicate information provided in the main activity description. It is typically used to distinguish work at multiple locations within a single IATI activity.,A description of what is taking place at this location. This should not duplicate information provided in the main activity description. It is typically used to distinguish work at multiple locations within a single IATI activity.
location.sub_elements.activity_description.sub_elements.narrative.hover_text,Describe what activity is happening at this location.,Describe what activity is happening at this location.
location.sub_elements.activity_description.sub_elements.narrative.help_text,,
location.sub_elements.activity_description.sub_elements.narrative.attributes.language.hover_text,,
location.sub_elements.activity_description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
location.sub_elements.administrative.hover_text,Identification of national and sub-national locations according to recognised administrative boundary repositories.,Identification of national and sub-national locations according to recognised administrative boundary repositories.
location.sub_elements.administrative.help_text,,
location.sub_elements.administrative.attributes.vocabulary.hover_text,Select an administrative boundary list to use for your activity location.,Select an administrative boundary list to use for your activity location.
location.sub_elements.administrative.attributes.vocabulary.help_text,,
location.sub_elements.administrative.attributes.code.hover_text,Provide a code from your chosen administrative boundary list.,Provide a code from your chosen administrative boundary list.
location.sub_elements.administrative.attributes.code.help_text,,
location.sub_elements.administrative.attributes.level.hover_text,"Within your chosen administrative boundary list, you can provide a number to define a hierarchical subdivision. This will depend on the administrative vocabulary in use.","Within your chosen administrative boundary list, you can provide a number to define a hierarchical subdivision. This will depend on the administrative vocabulary in use."
location.sub_elements.administrative.attributes.level.help_text,,
location.sub_elements.point.hover_text,"Geo-coordinates for the location, in the format of latitude and longitude coordinates. Click here for more information","Geo-coordinates for the location, in the format of latitude and longitude coordinates.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/location/point/'>Click here for more information</a>"
location.sub_elements.point.help_text,,
location.sub_elements.point.attributes.srs_name.hover_text,The name of the spatial reference system used by the coordinates.,The name of the spatial reference system used by the coordinates.
location.sub_elements.point.attributes.srs_name.help_text,,
location.sub_elements.point.sub_elements.pos.hover_text,The latitude and longitude coordinates. Click here for more information on finding coordinates,The latitude and longitude coordinates.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/standard-guidance/sub-national-locations/'>Click here for more information on finding coordinates</a>
location.sub_elements.point.sub_elements.pos.help_text,,
location.sub_elements.point.sub_elements.pos.attributes.latitude.hover_text,,
location.sub_elements.point.sub_elements.pos.attributes.latitude.help_text,,
location.sub_elements.point.sub_elements.pos.attributes.longitude.hover_text,,
location.sub_elements.point.sub_elements.pos.attributes.longitude.help_text,,
location.sub_elements.exactness.hover_text,Defines whether the location represents the most distinct point reasonably possible for this type of activity or is an approximation due to lack of more detailed information.,Defines whether the location represents the most distinct point reasonably possible for this type of activity or is an approximation due to lack of more detailed information.
location.sub_elements.exactness.attributes.code.hover_text,"If you have provided the geo-coordinates for the activity location, then select an option from the Geographic Exactness list to specify whether the location is exact or approximate.","If you have provided the geo-coordinates for the activity location, then select an option from the <a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/geographicexactness/'>Geographic Exactness list</a> to specify whether the location is exact or approximate."
location.sub_elements.exactness.attributes.code.help_text,,
location.sub_elements.location_class.hover_text,"Whether the location refers to a structure, a populated place (e.g. city or village), an administrative division, or another topological feature (e.g. river, nature reserve). Click here for more information (https://iatistandard.org/en/iati-standard/203/codelists/geographiclocationclass/)","Whether the location refers to a structure, a populated place (e.g. city or village), an administrative division, or another topological feature (e.g. river, nature reserve).<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/location/location-class/'>Click here for more information</a>"
location.sub_elements.location_class.attributes.code.hover_text,,
location.sub_elements.location_class.attributes.code.help_text,,
location.sub_elements.feature_designation.hover_text,A more refined coded classification of the type of feature referred to by this location.,A more refined coded classification of the type of feature referred to by this location.
location.sub_elements.feature_designation.attributes.code.hover_text,"You can provide more detail on the type of activity location (e.g. beach, well or college). Click here for more information on location types","You can provide more detail on the type of activity location (e.g. beach, well or college).<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/locationtype/'>Click here for more information on location types</a>"
location.sub_elements.feature_designation.attributes.code.help_text,,
planned_disbursement.hover_text,"Planned disbursements allow you to publish predefined payment schedules. They should be reported for a specific date or period, and should not replace the activity’s budget.","Planned disbursements allow you to publish predefined payment schedules. They should be reported for a specific date or period, and should not replace the activity’s budget."
planned_disbursement.help_text,,
planned_disbursement.attributes.planned_disbursement_type.hover_text,Specify if this is an ‘original’ planned disbursement (prepared when the original commitment was made) or has subsequently been ‘revised’.,Specify if this is an ‘original’ planned disbursement (prepared when the original commitment was made) or has subsequently been ‘revised’.
planned_disbursement.attributes.planned_disbursement_type.help_text,,
planned_disbursement.sub_elements.period_start.hover_text,The exact date of the planned disbursement OR the starting date of the period in which this disbursement will be made.,The exact date of the planned disbursement OR the starting date of the period in which this disbursement will be made.
planned_disbursement.sub_elements.period_start.attributes.date.hover_text,,
planned_disbursement.sub_elements.period_start.attributes.date.help_text,,
planned_disbursement.sub_elements.period_end.hover_text,The end date for the period in which this disbursement will be made.,The end date for the period in which this disbursement will be made.
planned_disbursement.sub_elements.period_end.attributes.date.hover_text,,
planned_disbursement.sub_elements.period_end.attributes.date.help_text,,
planned_disbursement.sub_elements.value.hover_text,The amount that is planned to be disbursed in the specified currency.,The amount that is planned to be disbursed in the specified currency.
planned_disbursement.sub_elements.value.attributes.amount.hover_text,,
planned_disbursement.sub_elements.value.attributes.amount.help_text,,
planned_disbursement.sub_elements.value.attributes.currency.hover_text,,
planned_disbursement.sub_elements.value.attributes.currency.help_text,"If no currency is selected, your default currency is assumed.","If no currency is selected, your default currency is assumed."
planned_disbursement.sub_elements.value.attributes.value_date.hover_text,Enter the date that the planned disbursement was agreed. This will be used to determine the exchange rate for currency conversions.,Enter the date that the planned disbursement was agreed. This will be used to determine the exchange rate for currency conversions.
planned_disbursement.sub_elements.value.attributes.value_date.help_text,,
planned_disbursement.sub_elements.provider_org.hover_text,"Will your organisation be disbursing these funds? If so, then you are the provider organisation. If not, please provide information on the organisation who will be disbursing these funds.","Will your organisation be disbursing these funds? If so, then you are the provider organisation. If not, please provide information on the organisation who will be disbursing these funds."
planned_disbursement.sub_elements.provider_org.help_text,,
planned_disbursement.sub_elements.provider_org.attributes.ref.hover_text,Enter the organisation’s IATI organisation identifier. If you cannot provide an organisation identifier then you must provide the name of the organisation. Click here for information on how to find other organisations' identifiers,Enter the organisation’s IATI organisation identifier. If you cannot provide an organisation identifier then you must provide the name of the organisation.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for information on how to find other organisations' identifiers</a>. 
planned_disbursement.sub_elements.provider_org.attributes.ref.help_text,,
planned_disbursement.sub_elements.provider_org.attributes.provider_activity_id.hover_text,"The provider organisation may have published IATI data on these funds in their own activity. If so, you can enter the unique identifier for that activity here. Click here for further guidance","The provider organisation may have published IATI data on providing these funds in their own activity. If so, you can enter the unique identifier for that activity here. <br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for further guidance</a>"
planned_disbursement.sub_elements.provider_org.attributes.provider_activity_id.help_text,,
planned_disbursement.sub_elements.provider_org.attributes.type.hover_text,Select the type that best describes the provider organisation.,Select the type that best describes the provider organisation.
planned_disbursement.sub_elements.provider_org.attributes.type.help_text,,
planned_disbursement.sub_elements.provider_org.sub_elements.narrative.hover_text,Enter the name of the organisation. This can be repeated in multiple languages.,Enter the name of the organisation. This can be repeated in multiple languages.
planned_disbursement.sub_elements.provider_org.sub_elements.narrative.help_text,,
planned_disbursement.sub_elements.provider_org.sub_elements.narrative.attributes.language.hover_text,,
planned_disbursement.sub_elements.provider_org.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
planned_disbursement.sub_elements.receiver_org.hover_text,Provide information about the organisation that will receive the funds.,Provide information about the organisation that will receive the funds.
planned_disbursement.sub_elements.receiver_org.help_text,,
planned_disbursement.sub_elements.receiver_org.attributes.ref.hover_text,Enter the organisation’s IATI organisation identifier. If you cannot provide an organisation identifier then you must provide the name of the organisation. Click here for information on how to find other organisations' identifiers,Enter the organisation’s IATI organisation identifier. If you cannot provide an organisation identifier then you must provide the name of the organisation.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for information on how to find other organisations' identifiers</a>. 
planned_disbursement.sub_elements.receiver_org.attributes.ref.help_text,,
planned_disbursement.sub_elements.receiver_org.attributes.receiver_activity_id.hover_text,"The receiver organisation may have published IATI data on receiving these funds in their own activity. If so, you can enter the unique identifier for that activity here. Click here for further guidance","The receiver organisation may have published IATI data on receiving these funds in their own activity. If so, you can enter the unique identifier for that activity here.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for further guidance</a>"
planned_disbursement.sub_elements.receiver_org.attributes.receiver_activity_id.help_text,,
planned_disbursement.sub_elements.receiver_org.attributes.type.hover_text,Select the type that best describes the receiver organisation.,Select the type that best describes the receiver organisation.
planned_disbursement.sub_elements.receiver_org.attributes.type.help_text,,
planned_disbursement.sub_elements.receiver_org.sub_elements.narrative.hover_text,Enter the name of the organisation. This can be repeated in multiple languages.,Enter the name of the organisation. This can be repeated in multiple languages.
planned_disbursement.sub_elements.receiver_org.sub_elements.narrative.help_text,,
planned_disbursement.sub_elements.receiver_org.sub_elements.narrative.attributes.language.hover_text,,
planned_disbursement.sub_elements.receiver_org.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
participating_org.help_text,,
participating_org.hover_text,"Specify which organisations are involved in this activity and what their roles are. For example, they could be a funder or implementing agency.","Specify which organisations are involved in this activity and what their roles are. For example, they could be a funder or implementing agency."
participating_org.attributes.organization_role.hover_text,Select an option that describes the organisation’s role in the activity.,Select an option that describes the organisation’s role in the activity.
participating_org.attributes.organization_role.help_text,,
participating_org.attributes.ref.hover_text,Enter the organisation’s IATI organisation identifier. If you cannot provide an organisation identifier then you must provide the name of the organisation. Click here for information on how to find other organisations' identifiers,Enter the organisation’s IATI organisation identifier. If you cannot provide an organisation identifier then you must provide the name of the organisation.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for information on how to find other organisations' identifiers</a>. 
participating_org.attributes.ref.help_text,,
participating_org.attributes.type.hover_text,Select the type that best describes the participating organisation.,Select the type that best describes the participating organisation.
participating_org.attributes.type.help_text,,
participating_org.attributes.identifier.hover_text,"The participating organisation may have published their own IATI activity for this funding. If so, you can enter the unique identifier for that activity here. Click here for further guidance","The participating organisation may have published their own IATI activity for this funding. If so, you can enter the unique identifier for that activity here. <br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for further guidance</a>"
participating_org.attributes.identifier.help_text,,
participating_org.attributes.crs_channel_code.hover_text,"Under CRS++ Reporting Directives, this code identifies the implementing agency. Codes ending in ‘00’ are generic and are similar to the OrganisationType code. Click here for more information","Under CRS++ Reporting Directives, this code identifies the implementing agency. Codes ending in ‘00’ are generic and are similar to the OrganisationType code. <br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/crschannelcode/'>Click here for more information</a>"
participating_org.attributes.crs_channel_code.help_text,,
participating_org.sub_elements.narrative.hover_text,Enter the name of the organisation. This can be repeated in multiple languages.,Enter the name of the organisation. This can be repeated in multiple languages.
participating_org.sub_elements.narrative.help_text,,
participating_org.sub_elements.narrative.attributes.language.hover_text,,
participating_org.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
budget.hover_text,The value of the activity’s budget for each financial quarter or year over the lifetime of the activity. Click here for more information,The value of the activity’s budget for each financial quarter or year over the lifetime of the activity.  <br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/budget/'>Click here for more information</a>
budget.help_text,,
budget.attributes.budget_status.hover_text,"Select a status that best describes this budget: (1) indicative - a non-binding estimate for the described budget. (2) committed - a binding agreement for the described budget. If no status is selected, the budget is assumed to be indicative.","Select a status that best describes this budget:<br><br>(1) <b>indicative</b> - a non-binding estimate for the described budget.<br><br>(2) <b>committed</b> - a binding agreement for the described budget.<br><br>If no status is selected, the budget is assumed to be indicative."
budget.attributes.budget_status.help_text,,
budget.attributes.budget_type.hover_text,"Whether this is the original budget (prepared when the original commitment was made), or one that has been subsequently revised.","Whether this is the original budget (prepared when the original commitment was made), or one that has been subsequently revised."
budget.attributes.budget_type.help_text,,
budget.sub_elements.period_start.hover_text,The start date of the budget period.,The start date of the budget period.
budget.sub_elements.period_start.attributes.date.hover_text,,
budget.sub_elements.period_start.attributes.date.help_text,,
budget.sub_elements.period_end.hover_text,The end date of the budget period. This cannot be greater than one year from the start date.,The end date of the budget period. This cannot be greater than one year from the start date.
budget.sub_elements.period_end.attributes.date.hover_text,,
budget.sub_elements.period_end.attributes.date.help_text,,
budget.sub_elements.budget_value.hover_text,The total value of the activity's budget for this period.,The total value of the activity's budget for this period.
budget.sub_elements.budget_value.help_text,,
budget.sub_elements.budget_value.attributes.amount.hover_text,,
budget.sub_elements.budget_value.attributes.amount.help_text,,
budget.sub_elements.budget_value.attributes.currency.hover_text,,
budget.sub_elements.budget_value.attributes.currency.help_text,"If no currency is selected, your default currency is assumed.","If no currency is selected, your default currency is assumed."
budget.sub_elements.budget_value.attributes.value_date.hover_text,The date used to determine the exchange rate for currency conversions.,The date used to determine the exchange rate for currency conversions.
budget.sub_elements.budget_value.attributes.value_date.help_text,,
result.hover_text,"An output, outcome, impact or other intended benefit from the activity. Multiple results can be added and each must have at least one indicator. Click here for more information","An output, outcome, impact or other intended benefit from the activity. Multiple results can be added and each must have at least one indicator. <br><br><a target='_blank' href='https://iatistandard.org/en/guidance/standard-guidance/results/'>Click here for more information</a>"
result.help_text,,
result.attributes.type.hover_text,Select the type of result that your activity is aiming to achieve.,Select the type of result that your activity is aiming to achieve.
result.attributes.type.help_text,,
result.attributes.aggregation_status.hover_text,Select 'true' if the results data that you provide is suitable for aggregation. This means that a data user can add it up to get to the total.,Select 'true' if the results data that you provide is suitable for aggregation. This means that a data user can add it up to get to the total.
result.attributes.aggregation_status.help_text,,
result.sub_elements.title.hover_text,A short title for the result.,A short title for the result.
result.sub_elements.title.sub_elements.narrative.hover_text,"Provide a title for the result. An example is ""People have access to independent media covering a diverse range of outcomes"".","Provide a title for the result. An example is ""People have access to independent media covering a diverse range of outcomes""."
result.sub_elements.title.sub_elements.narrative.help_text,,
result.sub_elements.title.sub_elements.narrative.attributes.language.hover_text,,
result.sub_elements.title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
result.sub_elements.description.hover_text,A longer description of the result.,A longer description of the result.
result.sub_elements.description.sub_elements.narrative.hover_text,Enter a result description.,Enter a result description.
result.sub_elements.description.sub_elements.narrative.help_text,,
result.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
